artista,influenciado_por,link_artista_influencia
Vanessa da Mata,Luiz Gonzaga,https://pt.wikipedia.org/wiki/Luiz_Gonzaga
Vanessa da Mata,Tom Jobim,https://pt.wikipedia.org/wiki/Tom_Jobim
Vanessa da Mata,Milton Nascimento,https://pt.wikipedia.org/wiki/Milton_Nascimento
Vanessa da Mata,Orlando Silva,https://pt.wikipedia.org/wiki/Orlando_Silva
Zezé di Camargo & Luciano,Tonico e Tinoco,https://pt.wikipedia.org/wiki/Tonico_e_Tinoco
Sandy,Damien Rice,https://pt.wikipedia.org/wiki/Damien_Rice
Sandy,Coldplay,https://pt.wikipedia.org/wiki/Coldplay
Sandy,KT Tunstall,https://pt.wikipedia.org/wiki/KT_Tunstall
Sandy,Nerina Pallot,https://pt.wikipedia.org/wiki/Nerina_Pallot
Harmonia do Samba,Fundo de Quintal,https://pt.wikipedia.org/wiki/Fundo_de_Quintal
Harmonia do Samba,Almir Guineto,https://pt.wikipedia.org/wiki/Almir_Guineto
Leandro & Leonardo,The Beatles,https://pt.wikipedia.org/wiki/The_Beatles
Leandro & Leonardo,Roberto Carlos,https://pt.wikipedia.org/wiki/Roberto_Carlos
Lauryn Hill,Curtis Mayfield,https://pt.wikipedia.org/wiki/Curtis_Mayfield
Lauryn Hill,Stevie Wonder,https://pt.wikipedia.org/wiki/Stevie_Wonder
Lauryn Hill,Aretha Franklin,https://pt.wikipedia.org/wiki/Aretha_Franklin
Lauryn Hill,Gladys Knight,https://pt.wikipedia.org/wiki/Gladys_Knight
Wanessa Camargo,Céline Dion,https://pt.wikipedia.org/wiki/C%C3%A9line_Dion
Wanessa Camargo,Shania Twain,https://pt.wikipedia.org/wiki/Shania_Twain
Wanessa Camargo,Mariah Carey,https://pt.wikipedia.org/wiki/Mariah_Carey
Wanessa Camargo,Dixie Chicks,https://pt.wikipedia.org/wiki/Dixie_Chicks
Wanessa Camargo,Faith Hill,https://pt.wikipedia.org/wiki/Faith_Hill
Wanessa Camargo,Rita Lee,https://pt.wikipedia.org/wiki/Rita_Lee
Wanessa Camargo,Shakira,https://pt.wikipedia.org/wiki/Shakira
Wanessa Camargo,Michael Jackson,https://pt.wikipedia.org/wiki/Michael_Jackson
Wanessa Camargo,Madonna,https://pt.wikipedia.org/wiki/Madonna
Wanessa Camargo,Jay-Z,https://pt.wikipedia.org/wiki/Jay-Z
Wanessa Camargo,Alicia Keys,https://pt.wikipedia.org/wiki/Alicia_Keys
Wanessa Camargo,Beyoncé,https://pt.wikipedia.org/wiki/Beyonc%C3%A9
Wanessa Camargo,Lauryn Hill,https://pt.wikipedia.org/wiki/Lauryn_Hill
Wanessa Camargo,Lady Gaga,https://pt.wikipedia.org/wiki/Lady_Gaga
Wanessa Camargo,Paula Fernandes,https://pt.wikipedia.org/wiki/Paula_Fernandes
Wanessa Camargo,Maiara & Maraisa,https://pt.wikipedia.org/wiki/Maiara_%26_Maraisa
Wanessa Camargo,Marília Mendonça,https://pt.wikipedia.org/wiki/Mar%C3%ADlia_Mendon%C3%A7a
Wanessa Camargo,Naiara Azevedo,https://pt.wikipedia.org/wiki/Naiara_Azevedo
Zezé di Camargo e Luciano,Tonico e Tinoco,https://pt.wikipedia.org/wiki/Tonico_e_Tinoco
Michel Teló,Roberto Carlos,https://pt.wikipedia.org/wiki/Roberto_Carlos
Michel Teló,Luiz Gonzaga,https://pt.wikipedia.org/wiki/Luiz_Gonzaga
Michel Teló,Leonardo,https://pt.wikipedia.org/wiki/Leonardo_(cantor)
Michel Teló,Chitãozinho & Xororó,https://pt.wikipedia.org/wiki/Chit%C3%A3ozinho_%26_Xoror%C3%B3
Jorge Aragão,Candeia,https://pt.wikipedia.org/wiki/Candeia
Jorge Aragão,Roberto Ribeiro,https://pt.wikipedia.org/wiki/Roberto_Ribeiro
Jorge Aragão,Monarco,https://pt.wikipedia.org/wiki/Monarco
Almir Guineto,Acadêmicos do Salgueiro,https://pt.wikipedia.org/wiki/GRES_Acad%C3%AAmicos_do_Salgueiro
Almir Guineto,Originais do Samba,https://pt.wikipedia.org/wiki/Originais_do_Samba
Roberto Carlos,Bob Nelson,https://pt.wikipedia.org/wiki/Bob_Nelson
Roberto Carlos,Elvis Presley,https://pt.wikipedia.org/wiki/Elvis_Presley
Roberto Carlos,Bill Haley,https://pt.wikipedia.org/wiki/Bill_Haley
Roberto Carlos,Little Richard,https://pt.wikipedia.org/wiki/Little_Richard
Roberto Carlos,Gene Vincent,https://pt.wikipedia.org/wiki/Gene_Vincent
Roberto Carlos,Chuck Berry,https://pt.wikipedia.org/wiki/Chuck_Berry
Leonardo,Chitãozinho & Xororó,https://pt.wikipedia.org/wiki/Chit%C3%A3ozinho_%26_Xoror%C3%B3
Leonardo,Roberto Carlos,https://pt.wikipedia.org/wiki/Roberto_Carlos
Leonardo,The Beatles,https://pt.wikipedia.org/wiki/The_Beatles
Mamonas Assassinas,Ultraje a Rigor,https://pt.wikipedia.org/wiki/Ultraje_a_Rigor
Mamonas Assassinas,Legião Urbana,https://pt.wikipedia.org/wiki/Legi%C3%A3o_Urbana
Mamonas Assassinas,Titãs,https://pt.wikipedia.org/wiki/Tit%C3%A3s_(banda)
Mamonas Assassinas,Os Paralamas do Sucesso,https://pt.wikipedia.org/wiki/Os_Paralamas_do_Sucesso
Mamonas Assassinas,Barão Vermelho,https://pt.wikipedia.org/wiki/Bar%C3%A3o_Vermelho
Mamonas Assassinas,Rush,https://pt.wikipedia.org/wiki/Rush
Mamonas Assassinas,Guns N' Roses,https://pt.wikipedia.org/wiki/Guns_N%27_Roses
Liu e Léu,Zico & Zéca,https://pt.wikipedia.org/wiki/Zico_%26_Z%C3%A9ca
Liu e Léu,Vieira e Vieirinha,https://pt.wikipedia.org/wiki/Vieira_e_Vieirinha
